ID;Название
10566;"Диапазон измерений"
10567;"Точность измерения, угол"
10568;"Точность измерения, пузырьковый уровень"
10569;"Точность при расчёте угла"
10570;"Источники питания"
10574;Длина
10575;Ширина
10576;Высота
10587;"Внешний диаметр, дюймы"
10588;"Внешний диаметр, мм"
10589;"Отверстие, мм"
10590;"Ширина пропила (b1), мм/толщина основного диска (b2), мм"
10591;"Число зубьев"
10593;"Форма зуба"
10594;"Результат пиления"
10597;"Сверление с переходным кольцом, мм"
10599;"Диаметр (D), мм"
10600;"Рабочая длина (L1), мм"
10601;"Общая длина (L2), мм"
10603;"Диаметр, мм"
10604;"Диаметр отверстия, мм"
10605;"Ширина пропила, мм"
10606;"Высота сегмента, мм"
10607;"Диаметр корзины, мм"
10608;"Общая длина, мм"
10610;"Макс. кол-во смеси, кг"
10611;"Длина, мм"
10612;"Длина [м]"
10613;"Толщина, мм"
10619;"Диаметр хвостовика, мм"
10621;"Диаметр ступеней (диапазон), мм"
10626;"Передний угол ° w1"
10627;"Задний угол ° w2"
10629;"Диаметр [мм]"
10630;"Ширина [мм]"
10631;"Глубина врезания [мм]"
10632;"Рабочая ширина [мм]"
10633;"Рабочая глубина [мм]"
10634;"Ширина реза [мм]"
10635;"Длина режущей кромки [мм]"
10637;"Внешний диаметр, мм"
10638;"Диаметр хвостовика (d), мм"
10641;"Макс. глубина забора воды, м"
10642;"Высота подачи, м"
10644;"Производительность, л/ч"
10645;"Резьбовое соединение, дюймы"
10646;"Раствор ключа (d), мм"
10647;"Диаметр (D), дюйм"
10649;"Режущая кромка зубила, мм"
10650;Толщина, мм
10651;"Хвостовик, мм"
10652;"Размер зерна"
10654;"Сверлильный патрон, мм"
10655;"Рабочая длина, мм"
10661;"Общая длина [мм]"
10662;"Толщина [мм]"
10670;"Исполнение зубьев"
10677;"Общая длина [дюйм]"
10729;"Макс. частота вращения, об/мин"
10730;"Номинальная потребляемая мощность"
10731;"Частота вращения на холостом ходу"
10804;"Ном. мощность"
10807;"Длина кабеля"
10808;"Длина шланга"
10814;"Тип двигателя"
10861;"Рабочий диапазон"
10862;"Угловая точность"
10878;"Дальность действия лазера"
10879;"Класс лазера"
10969;"Длина (L), мм"
10994;"Диам. гвоздя"
10995;"Длина гвоздя"
11006;"макс. диам. цангового патрона"
11007;"макс. диам. шлифинструмента"
11012;"Диаметр колеса (объём)"
11027;"Рабочая ширина"
11029;"Длина хода ножовки"
11071;"Диам. пильного диска"
11078;"Диаметр патрона"
11080;"Длина ленты"
11081;"Ширина ленты"
11140;"Макс. глубина сверления"
11148;"Рабочая высота"
11149;"Мощность батареи, ок."
11158;"Тип аккумулятора"
11167;"Быстрозажимной сверлильный патрон"
11169;"Размеры (ДxШxВ)"
11177;"Диам. отрезного круга"
11179;Размер
11241;"Толщина материала, до [мм]"
11252;"Макс. число оборотов, об/мин"
11275;"Размеры (длина x ширина x высота), мм"
11287;"Рабочая длина (L), мм"
11312;"Диаметр патрона, мм"
11313;"Плиты Multiplex [мм]"